PASSENGERS,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME
0,ABX Air Inc,14683,SAT,"San Antonio, TX",11193,CVG,"Cincinnati, OH"
0,ABX Air Inc,14691,SBD,"San Bernardino, CA",11292,DEN,"Denver, CO"
0,ABX Air Inc,14747,SEA,"Seattle, WA",11193,CVG,"Cincinnati, OH"
0,ABX Air Inc,14747,SEA,"Seattle, WA",14057,PDX,"Portland, OR"
0,ABX Air Inc,14771,SFO,"San Francisco, CA",11193,CVG,"Cincinnati, OH"
0,ABX Air Inc,14771,SFO,"San Francisco, CA",12892,LAX,"Los Angeles, CA"
0,ABX Air Inc,14843,SJU,"San Juan, PR",11193,CVG,"Cincinnati, OH"
0,ABX Air Inc,14893,SMF,"Sacramento, CA",12324,ILN,"Wilmington, OH"
0,ABX Air Inc,15016,STL,"St. Louis, MO",11193,CVG,"Cincinnati, OH"
0,ABX Air Inc,15370,TUL,"Tulsa, OK",11193,CVG,"Cincinnati, OH"
0,ACM AIR CHARTER GmbH,10540,BED,"Bedford, MA",13303,MIA,"Miami, FL"
0,ACM AIR CHARTER GmbH,10721,BOS,"Boston, MA",10540,BED,"Bedford, MA"
0,ACM AIR CHARTER GmbH,13303,MIA,"Miami, FL",10721,BOS,"Boston, MA"
0,ACM AIR CHARTER GmbH,15167,TEB,"Teterboro, NJ",13898,OPF,"Miami, FL"
0,"ADVANCED AIR, LLC",15376,TUS,"Tucson, AZ",12127,HHR,"Hawthorne, CA"
0,AeroLogic GmbH,10397,ATL,"Atlanta, GA",11298,DFW,"Dallas/Fort Worth, TX"
0,AeroLogic GmbH,12892,LAX,"Los Angeles, CA",14747,SEA,"Seattle, WA"
0,AeroLogic GmbH,13930,ORD,"Chicago, IL",11298,DFW,"Dallas/Fort Worth, TX"
0,AeroLogic GmbH,14747,SEA,"Seattle, WA",12892,LAX,"Los Angeles, CA"
0,Air Alsie A/S,11697,FLL,"Fort Lauderdale, FL",13936,ORL,"Orlando, FL"
0,Air Alsie A/S,15167,TEB,"Teterboro, NJ",10540,BED,"Bedford, MA"
0,Air Alsie A/S,15167,TEB,"Teterboro, NJ",15356,TTN,"Trenton, NJ"
0,Air Atlanta Icelandic,10599,BHM,"Birmingham, AL",12478,JFK,"New York, NY"
0,"Air Charter, Inc d/b/a Air Flamenco",11126,CPX,"Culebra, PR",15626,VQS,"Vieques, PR"
0,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,"San Juan, PR",11126,CPX,"Culebra, PR"
0,"Air Charter, Inc d/b/a Air Flamenco",14843,SJU,"San Juan, PR",15024,STT,"Charlotte Amalie, VI"
